.venv/bin/python -m pytest ledger/checks -v
============================= test session starts ==============================
platform linux -- Python 3.12.13, pytest-9.1.1, pluggy-1.6.0 -- /home/bkrabach/dev/hw-model-performance/lanes/c0e-ccv1-023-ledger-note/amplifier-work-tracker/.venv/bin/python
cachedir: .pytest_cache
rootdir: /home/bkrabach/dev/hw-model-performance/lanes/c0e-ccv1-023-ledger-note/amplifier-work-tracker
configfile: pyproject.toml
plugins: anyio-4.15.1, asyncio-1.4.0, amplifier-core-1.6.1
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 60 items

ledger/checks/test_custody_rows.py::test_row_ccv1_000 PASSED             [  1%]
ledger/checks/test_custody_rows.py::test_row_ccv1_003 PASSED             [  3%]
ledger/checks/test_custody_rows.py::test_row_ccv1_004 PASSED             [  5%]
ledger/checks/test_custody_rows.py::test_row_ccv1_005 PASSED             [  6%]
ledger/checks/test_custody_rows.py::test_row_ccv1_008 PASSED             [  8%]
ledger/checks/test_custody_rows.py::test_row_ccv1_009 PASSED             [ 10%]
ledger/checks/test_custody_rows.py::test_row_ccv1_011 PASSED             [ 11%]
ledger/checks/test_custody_rows.py::test_row_ccv1_012 PASSED             [ 13%]
ledger/checks/test_custody_rows.py::test_row_ccv1_013 PASSED             [ 15%]
ledger/checks/test_custody_rows.py::test_row_ccv1_015 PASSED             [ 16%]
ledger/checks/test_custody_rows.py::test_row_ccv1_016 PASSED             [ 18%]
ledger/checks/test_custody_rows.py::test_row_ccv1_017 PASSED             [ 20%]
ledger/checks/test_custody_rows.py::test_row_ccv1_021 PASSED             [ 21%]
ledger/checks/test_custody_rows.py::test_row_ccv1_022 PASSED             [ 23%]
ledger/checks/test_custody_rows.py::test_row_ccv1_023 PASSED             [ 25%]
ledger/checks/test_ledger_integrity.py::test_rows_parse_as_a_top_level_list_with_each_family_sync_row_first PASSED [ 26%]
ledger/checks/test_ledger_integrity.py::test_row_ids_are_well_formed_unique_and_ordered PASSED [ 28%]
ledger/checks/test_ledger_integrity.py::test_every_row_has_a_legal_disposition_and_its_required_fields PASSED [ 30%]
ledger/checks/test_ledger_integrity.py::test_every_row_quote_verifies_against_its_own_contract_bytes PASSED [ 31%]
ledger/checks/test_ledger_integrity.py::test_every_clause_id_is_a_bare_identifier_the_contract_actually_names PASSED [ 33%]
ledger/checks/test_ledger_integrity.py::test_every_core_clause_of_every_contract_is_cited_by_at_least_one_row PASSED [ 35%]
ledger/checks/test_ledger_integrity.py::test_every_assertion_ref_resolves PASSED [ 36%]
ledger/checks/test_ledger_integrity.py::test_every_probe_belongs_to_a_row PASSED [ 38%]
ledger/checks/test_ledger_integrity.py::test_every_probe_module_declared_by_a_family_exists_and_is_importable PASSED [ 40%]
ledger/checks/test_ledger_integrity.py::test_every_probe_has_a_declared_mutation PASSED [ 41%]
ledger/checks/test_ledger_integrity.py::test_the_mutation_harness_runs_and_every_mutation_flips_its_probe_red PASSED [ 43%]
ledger/checks/test_ledger_integrity.py::test_indexed_cites_are_reserved_for_measured_rows PASSED [ 45%]
ledger/checks/test_operator_rows.py::test_row_osv1_000 PASSED            [ 46%]
ledger/checks/test_operator_rows.py::test_row_osv1_001 PASSED            [ 48%]
ledger/checks/test_operator_rows.py::test_row_osv1_002 PASSED            [ 50%]
ledger/checks/test_operator_rows.py::test_row_osv1_003 PASSED            [ 51%]
ledger/checks/test_operator_rows.py::test_row_osv1_004 PASSED            [ 53%]
ledger/checks/test_operator_rows.py::test_row_osv1_005 PASSED            [ 55%]
ledger/checks/test_operator_rows.py::test_row_osv1_006 PASSED            [ 56%]
ledger/checks/test_operator_rows.py::test_row_osv1_007 PASSED            [ 58%]
ledger/checks/test_operator_rows.py::test_row_osv1_008 PASSED            [ 60%]
ledger/checks/test_operator_rows.py::test_row_osv1_009 PASSED            [ 61%]
ledger/checks/test_operator_rows.py::test_row_osv1_010 PASSED            [ 63%]
ledger/checks/test_operator_rows.py::test_row_osv1_011 PASSED            [ 65%]
ledger/checks/test_operator_rows.py::test_row_osv1_012 PASSED            [ 66%]
ledger/checks/test_operator_rows.py::test_row_osv1_013 PASSED            [ 68%]
ledger/checks/test_operator_rows.py::test_row_osv1_014 PASSED            [ 70%]
ledger/checks/test_operator_rows.py::test_row_osv1_015 PASSED            [ 71%]
ledger/checks/test_operator_rows.py::test_row_osv1_016 PASSED            [ 73%]
ledger/checks/test_operator_rows.py::test_row_osv1_017 PASSED            [ 75%]
ledger/checks/test_operator_rows.py::test_row_osv1_020 PASSED            [ 76%]
ledger/checks/test_operator_rows.py::test_row_osv1_021 PASSED            [ 78%]
ledger/checks/test_operator_rows.py::test_row_osv1_022 PASSED            [ 80%]
ledger/checks/test_operator_rows.py::test_row_osv1_023 PASSED            [ 81%]
ledger/checks/test_operator_rows.py::test_row_osv1_024 PASSED            [ 83%]
ledger/checks/test_operator_rows.py::test_row_osv1_025 PASSED            [ 85%]
ledger/checks/test_operator_rows.py::test_row_osv1_026 PASSED            [ 86%]
ledger/checks/test_operator_rows.py::test_row_osv1_027 PASSED            [ 88%]
ledger/checks/test_operator_rows.py::test_row_osv1_028 PASSED            [ 90%]
ledger/checks/test_operator_rows.py::test_row_osv1_029 PASSED            [ 91%]
ledger/checks/test_operator_rows.py::test_row_osv1_030 PASSED            [ 93%]
ledger/checks/test_operator_rows.py::test_row_osv1_031 PASSED            [ 95%]
ledger/checks/test_operator_rows.py::test_row_osv1_032 PASSED            [ 96%]
ledger/checks/test_operator_rows.py::test_row_osv1_033 PASSED            [ 98%]
ledger/checks/test_operator_rows.py::test_row_osv1_034 PASSED            [100%]

============================== 60 passed in 2.06s ==============================
